id_produksi;tanggal;nama_produk;kategori_produk;rating;jumlah_produksi;produk_sempurna;jumlah_cacat;waktu_produksi;penjualan;cabang;Tahun
1;01/01/2019;Citra;1;4;400;393;7;8;Terjual;1;4
2;02/01/2019;Clear;1;4;446;427;19;7;Terjual;2;5
3;03/01/2019;Clean Men;1;2;618;604;14;7;Terjual;3;2
4;04/01/2019;Simple;1;2;671;653;18;5;Terjual;4;4
5;05/01/2019;Zwitsal;1;4;710;709;1;5;Terjual;5;2
6;06/01/2019;Glow & Lovely;1;2;757;732;25;5;Terjual;1;5
7;07/01/2019;Love Beauty & Planet;1;5;660;657;3;5;Terjual;2;2
8;08/01/2019;Pepsodent;1;2;521;503;18;5;Terjual;3;4
9;09/01/2019;Pond's;1;5;717;701;16;7;Terjual;4;6
10;10/01/2019;Pond's Men;1;3;631;629;2;8;Terjual;5;5
11;11/01/2019;Sunsilk;1;2;684;655;29;8;Terjual;1;6
12;12/01/2019;TRESemme;1;3;777;765;12;7;Terjual;2;6
13;13/01/2019;Unilever Professional;1;2;608;587;21;7;Terjual;3;4
14;14/01/2019;Vaseline Men;1;3;632;609;23;6;Terjual;4;6
15;15/01/2019;St. Ives;2;4;604;596;8;6;Tidak Terjual;5;3
16;16/01/2019;AXE;2;5;787;758;29;7;Terjual;1;5
17;17/01/2019;Close Up;2;3;446;438;8;7;Terjual;2;5
18;18/01/2019;Dove;2;2;437;429;8;8;Terjual;3;5
19;19/01/2019;LUX;2;4;471;454;17;8;Terjual;4;2
20;20/01/2019;Rexona;2;2;777;748;29;6;Terjual;5;1
21;21/01/2019;Lifebuoy;2;2;434;412;22;5;Terjual;1;5
22;22/01/2019;Cif;3;2;735;706;29;5;Terjual;2;3
23;23/01/2019;Molto;3;4;417;411;6;7;Terjual;3;3
24;24/01/2019;Rinso;3;3;400;377;23;6;Terjual;4;3
25;25/01/2019;Sunlight;3;3;609;591;18;5;Terjual;5;2
26;26/01/2019;Super Pell;3;3;587;585;2;6;Terjual;1;4
27;27/01/2019;Vixall;3;3;403;373;30;5;Terjual;2;6
28;28/01/2019;Wipol;3;2;411;385;26;5;Terjual;3;5
29;29/01/2019;Bango;4;5;730;721;9;8;Terjual;4;2
30;30/01/2019;Buavita;4;3;646;637;9;5;Terjual;5;2
31;31/01/2019;Hellmann's;4;5;570;557;13;8;Terjual;1;6
32;01/02/2019;Jawara;4;2;522;514;8;7;Terjual;2;2
33;02/02/2019;Knorr;4;4;472;466;6;6;Terjual;3;5
34;03/02/2019;Lipton;4;2;529;528;1;7;Terjual;4;1
35;04/02/2019;Royco;4;5;793;771;22;8;Terjual;5;6
36;05/02/2019;SariWangi;4;4;529;528;1;7;Terjual;1;6
37;06/02/2019;TheVegetarianButcher;4;2;639;628;11;8;Terjual;2;5
38;07/02/2019;Cornetto;5;5;426;408;18;5;Tidak Terjual;3;4
39;08/02/2019;Feast;5;4;595;590;5;8;Terjual;4;5
40;09/02/2019;Magnum;5;3;446;441;5;7;Terjual;5;1
41;10/02/2019;Paddle Pop;5;5;693;686;7;6;Terjual;1;3
42;11/02/2019;Populaire;5;4;746;720;26;5;Terjual;2;5
43;12/02/2019;Seru;5;5;749;726;23;7;Terjual;3;4
44;13/02/2019;Viennetta;5;2;727;715;12;8;Terjual;4;6
45;14/02/2019;Wall's;5;5;600;570;30;5;Terjual;5;6
46;15/02/2019;Citra;1;2;780;766;14;5;Terjual;1;3
47;16/02/2019;Clear;1;5;652;649;3;6;Terjual;2;1
48;17/02/2019;Clean Men;1;2;667;642;25;7;Terjual;3;3
49;18/02/2019;Simple;1;3;422;409;13;7;Terjual;4;6
50;19/02/2019;Zwitsal;1;4;641;640;1;6;Terjual;5;3
51;20/02/2019;Glow & Lovely;1;5;489;459;30;7;Terjual;1;1
52;21/02/2019;Love Beauty & Planet;1;2;457;445;12;7;Terjual;2;5
53;22/02/2019;Pepsodent;1;2;528;526;2;8;Terjual;3;2
54;23/02/2019;Pond's;1;3;499;491;8;5;Terjual;4;5
55;24/02/2019;Pond's Men;1;2;590;568;22;8;Terjual;5;6
56;25/02/2019;Sunsilk;1;4;618;617;1;7;Terjual;1;3
57;26/02/2019;TRESemme;1;5;658;631;27;5;Terjual;2;5
58;27/02/2019;Unilever Professional;1;4;423;399;24;5;Terjual;3;5
59;28/02/2019;Vaseline Men;1;5;675;654;21;5;Terjual;4;1
60;01/03/2019;St. Ives;2;4;411;385;26;8;Terjual;5;3
61;02/03/2019;AXE;2;2;483;477;6;7;Terjual;1;1
62;03/03/2019;Close Up;2;3;643;620;23;8;Terjual;2;2
63;04/03/2019;Dove;2;5;639;634;5;8;Terjual;3;1
64;05/03/2019;LUX;2;2;720;704;16;6;Terjual;4;1
65;06/03/2019;Rexona;2;5;666;649;17;7;Terjual;5;1
66;07/03/2019;Lifebuoy;2;2;667;637;30;5;Terjual;1;6
67;08/03/2019;Cif;3;5;738;712;26;6;Terjual;2;6
68;09/03/2019;Molto;3;4;403;374;29;6;Terjual;3;2
69;10/03/2019;Rinso;3;5;689;663;26;5;Terjual;4;6
70;11/03/2019;Sunlight;3;2;516;514;2;5;Terjual;5;6
71;12/03/2019;Super Pell;3;3;663;637;26;6;Terjual;1;2
72;13/03/2019;Vixall;3;4;705;681;24;5;Terjual;2;5
73;14/03/2019;Wipol;3;4;677;654;23;7;Terjual;3;2
74;15/03/2019;Bango;4;3;646;623;23;7;Terjual;4;2
75;16/03/2019;Buavita;4;2;730;711;19;5;Terjual;5;1
76;17/03/2019;Hellmann's;4;4;545;541;4;7;Terjual;1;3
77;18/03/2019;Jawara;4;3;456;442;14;5;Terjual;2;1
78;19/03/2019;Knorr;4;3;717;706;11;8;Terjual;3;5
79;20/03/2019;Lipton;4;2;798;795;3;5;Terjual;4;6
80;21/03/2019;Royco;4;5;736;719;17;6;Terjual;5;3
81;22/03/2019;SariWangi;4;4;458;437;21;6;Terjual;1;4
82;23/03/2019;TheVegetarianButcher;4;3;547;536;11;8;Terjual;2;5
83;24/03/2019;Cornetto;5;4;571;563;8;8;Terjual;3;2
84;25/03/2019;Feast;5;5;706;677;29;5;Tidak Terjual;4;2
85;26/03/2019;Magnum;5;4;598;589;9;8;Tidak Terjual;5;1
86;27/03/2019;Paddle Pop;5;4;448;433;15;7;Terjual;1;1
87;28/03/2019;Populaire;5;4;406;394;12;8;Terjual;2;6
88;29/03/2019;Seru;5;2;661;644;17;7;Terjual;3;1
89;30/03/2019;Viennetta;5;4;528;507;21;6;Terjual;4;6
90;31/03/2019;Wall's;5;4;648;632;16;8;Terjual;5;4
91;01/04/2019;Citra;1;4;445;422;23;8;Terjual;1;2
92;02/04/2019;Clear;1;2;583;561;22;5;Terjual;2;2
93;03/04/2019;Clean Men;1;4;714;687;27;8;Terjual;3;4
94;04/04/2019;Simple;1;4;477;466;11;6;Terjual;4;1
95;05/04/2019;Zwitsal;1;4;763;748;15;7;Tidak Terjual;5;3
96;06/04/2019;Glow & Lovely;1;3;551;522;29;8;Terjual;1;2
97;07/04/2019;Love Beauty & Planet;1;2;734;719;15;6;Terjual;2;2
98;08/04/2019;Pepsodent;1;5;642;637;5;6;Terjual;3;4
99;09/04/2019;Pond's;1;2;406;397;9;5;Terjual;4;1
100;10/04/2019;Pond's Men;1;2;790;789;1;6;Terjual;5;5
101;11/04/2019;Sunsilk;1;2;602;588;14;6;Terjual;1;4
102;12/04/2019;TRESemme;1;2;775;772;3;6;Terjual;2;5
103;13/04/2019;Unilever Professional;1;3;447;424;23;8;Terjual;3;5
104;14/04/2019;Vaseline Men;1;2;750;742;8;8;Terjual;4;2
105;15/04/2019;St. Ives;2;5;614;586;28;6;Terjual;5;6
106;16/04/2019;AXE;2;5;674;673;1;7;Terjual;1;1
107;17/04/2019;Close Up;2;4;566;557;9;8;Terjual;2;2
108;18/04/2019;Dove;2;5;506;497;9;6;Terjual;3;6
109;19/04/2019;LUX;2;2;702;681;21;6;Terjual;4;3
110;20/04/2019;Rexona;2;4;556;552;4;5;Terjual;5;6
111;21/04/2019;Lifebuoy;2;5;758;729;29;5;Terjual;1;6
112;22/04/2019;Cif;3;5;558;537;21;6;Terjual;2;5
113;23/04/2019;Molto;3;4;478;449;29;8;Terjual;3;1
114;24/04/2019;Rinso;3;3;652;640;12;6;Terjual;4;4
115;25/04/2019;Sunlight;3;5;752;741;11;5;Tidak Terjual;5;6
116;26/04/2019;Super Pell;3;4;439;430;9;8;Terjual;1;6
117;27/04/2019;Vixall;3;2;400;390;10;8;Terjual;2;1
118;28/04/2019;Wipol;3;4;786;772;14;7;Terjual;3;2
119;29/04/2019;Bango;4;3;736;728;8;6;Terjual;4;5
120;30/04/2019;Buavita;4;3;747;740;7;8;Terjual;5;4
121;01/05/2019;Hellmann's;4;2;790;783;7;5;Terjual;1;1
122;02/05/2019;Jawara;4;3;403;386;17;6;Terjual;2;2
123;03/05/2019;Knorr;4;4;467;442;25;6;Terjual;3;5
124;04/05/2019;Lipton;4;2;792;775;17;7;Terjual;4;2
125;05/05/2019;Royco;4;5;736;734;2;7;Terjual;5;5
126;06/05/2019;SariWangi;4;5;553;550;3;5;Terjual;1;3
127;07/05/2019;TheVegetarianButcher;4;3;648;639;9;6;Terjual;2;2
128;08/05/2019;Cornetto;5;5;697;694;3;8;Terjual;3;4
129;09/05/2019;Feast;5;5;561;556;5;6;Terjual;4;5
130;10/05/2019;Magnum;5;3;755;744;11;6;Terjual;5;1
131;11/05/2019;Paddle Pop;5;3;517;510;7;7;Tidak Terjual;1;4
132;12/05/2019;Populaire;5;4;657;644;13;7;Terjual;2;5
133;13/05/2019;Seru;5;4;417;410;7;6;Terjual;3;1
134;14/05/2019;Viennetta;5;5;587;585;2;7;Terjual;4;4
135;15/05/2019;Wall's;5;3;748;725;23;6;Terjual;5;5
136;16/05/2019;Citra;1;2;568;553;15;5;Terjual;1;2
137;17/05/2019;Clear;1;3;458;444;14;7;Terjual;2;2
138;18/05/2019;Clean Men;1;5;653;642;11;5;Terjual;3;6
139;19/05/2019;Simple;1;3;736;717;19;7;Terjual;4;2
140;20/05/2019;Zwitsal;1;5;565;543;22;7;Terjual;5;6
141;21/05/2019;Glow & Lovely;1;3;798;797;1;6;Terjual;1;3
142;22/05/2019;Love Beauty & Planet;1;3;715;698;17;7;Terjual;2;6
143;23/05/2019;Pepsodent;1;2;514;512;2;6;Terjual;3;3
144;24/05/2019;Pond's;1;4;719;699;20;5;Terjual;4;5
145;25/05/2019;Pond's Men;1;2;435;416;19;7;Terjual;5;5
146;26/05/2019;Sunsilk;1;5;529;517;12;5;Terjual;1;6
147;27/05/2019;TRESemme;1;2;757;733;24;7;Terjual;2;3
148;28/05/2019;Unilever Professional;1;5;427;426;1;8;Terjual;3;3
149;29/05/2019;Vaseline Men;1;2;579;577;2;8;Terjual;4;2
150;30/05/2019;St. Ives;2;5;468;442;26;8;Terjual;5;1
151;31/05/2019;AXE;2;5;415;406;9;5;Terjual;1;2
152;01/06/2019;Close Up;2;4;569;559;10;5;Terjual;2;4
153;02/06/2019;Dove;2;5;573;563;10;6;Terjual;3;1
154;03/06/2019;LUX;2;4;444;418;26;5;Terjual;4;2
155;04/06/2019;Rexona;2;3;518;491;27;6;Terjual;5;3
156;05/06/2019;Lifebuoy;2;4;544;543;1;6;Terjual;1;6
157;06/06/2019;Cif;3;3;682;679;3;7;Terjual;2;6
158;07/06/2019;Molto;3;5;767;753;14;5;Tidak Terjual;3;3
159;08/06/2019;Rinso;3;5;780;774;6;8;Terjual;4;4
160;09/06/2019;Sunlight;3;5;727;717;10;8;Terjual;5;3
161;10/06/2019;Super Pell;3;4;715;701;14;5;Terjual;4;6
162;11/06/2019;Vixall;3;3;438;421;17;7;Terjual;4;6
163;12/06/2019;Wipol;3;4;426;408;18;5;Tidak Terjual;1;1
164;13/06/2019;Bango;4;4;721;708;13;8;Terjual;4;1
165;14/06/2019;Buavita;4;3;770;745;25;7;Terjual;1;3
166;15/06/2019;Hellmann's;4;2;778;756;22;5;Terjual;2;2
167;16/06/2019;Jawara;4;3;428;405;23;7;Terjual;1;5
168;17/06/2019;Knorr;4;5;480;473;7;6;Terjual;5;6
169;18/06/2019;Lipton;4;2;465;461;4;5;Terjual;1;6
170;19/06/2019;Royco;4;3;792;783;9;6;Terjual;3;3
171;20/06/2019;SariWangi;4;2;598;574;24;8;Terjual;1;5
172;21/06/2019;TheVegetarianButcher;4;3;422;421;1;6;Terjual;1;4
173;22/06/2019;Cornetto;5;5;438;432;6;8;Terjual;4;4
174;23/06/2019;Feast;5;4;531;519;12;6;Terjual;4;2
175;24/06/2019;Magnum;5;2;475;447;28;8;Terjual;1;5
176;25/06/2019;Paddle Pop;5;5;763;741;22;7;Terjual;5;1
177;26/06/2019;Populaire;5;2;489;469;20;5;Terjual;1;2
178;27/06/2019;Seru;5;2;505;493;12;8;Terjual;1;3
179;28/06/2019;Viennetta;5;4;468;460;8;8;Terjual;3;6
180;29/06/2019;Wall's;5;3;675;665;10;8;Terjual;5;2
181;30/06/2019;Citra;1;4;606;576;30;8;Terjual;4;3
182;01/07/2019;Clear;1;2;404;395;9;8;Terjual;1;4
183;02/07/2019;Clean Men;1;2;693;688;5;5;Terjual;2;3
184;03/07/2019;Simple;1;5;713;698;15;7;Terjual;3;6
185;04/07/2019;Zwitsal;1;2;410;384;26;6;Terjual;2;5
186;05/07/2019;Glow & Lovely;1;5;552;522;30;5;Terjual;3;4
187;06/07/2019;Love Beauty & Planet;1;2;691;682;9;5;Terjual;1;6
188;07/07/2019;Pepsodent;1;4;488;460;28;7;Terjual;5;5
189;08/07/2019;Pond's;1;2;790;788;2;5;Tidak Terjual;3;6
190;09/07/2019;Pond's Men;1;3;741;739;2;6;Terjual;5;5
191;10/07/2019;Sunsilk;1;5;728;716;12;7;Terjual;4;3
192;11/07/2019;TRESemme;1;2;780;771;9;6;Terjual;1;1
193;12/07/2019;Unilever Professional;1;4;462;460;2;5;Terjual;4;6
194;13/07/2019;Vaseline Men;1;5;549;527;22;7;Terjual;3;4
195;14/07/2019;St. Ives;2;2;636;621;15;7;Tidak Terjual;3;1
196;15/07/2019;AXE;2;5;794;792;2;6;Terjual;4;6
197;16/07/2019;Close Up;2;3;544;526;18;7;Terjual;4;2
198;17/07/2019;Dove;2;4;600;599;1;8;Terjual;1;5
199;18/07/2019;LUX;2;4;417;396;21;8;Terjual;5;1
200;19/07/2019;Rexona;2;2;687;671;16;7;Terjual;1;6
201;20/07/2019;Lifebuoy;2;4;773;758;15;6;Terjual;5;1
202;21/07/2019;Cif;3;3;782;755;27;5;Terjual;4;2
203;22/07/2019;Molto;3;2;691;668;23;7;Terjual;5;3
204;23/07/2019;Rinso;3;4;442;433;9;5;Terjual;2;6
205;24/07/2019;Sunlight;3;3;558;554;4;5;Terjual;4;5
206;25/07/2019;Super Pell;3;3;563;551;12;5;Terjual;5;2
207;26/07/2019;Vixall;3;2;649;624;25;6;Terjual;5;2
208;27/07/2019;Wipol;3;3;440;424;16;7;Terjual;2;4
209;28/07/2019;Bango;4;2;573;548;25;6;Terjual;4;2
210;29/07/2019;Buavita;4;3;424;405;19;8;Tidak Terjual;1;1
211;30/07/2019;Hellmann's;4;5;798;785;13;5;Terjual;5;2
212;31/07/2019;Jawara;4;4;769;756;13;8;Terjual;1;2
213;01/08/2019;Knorr;4;5;444;430;14;6;Terjual;4;2
214;02/08/2019;Lipton;4;4;539;512;27;6;Terjual;1;2
215;03/08/2019;Royco;4;3;735;722;13;8;Terjual;2;5
216;04/08/2019;SariWangi;4;5;615;614;1;6;Terjual;2;6
217;05/08/2019;TheVegetarianButcher;4;4;655;652;3;5;Terjual;3;3
218;06/08/2019;Cornetto;5;3;408;388;20;8;Terjual;5;2
219;07/08/2019;Feast;5;2;465;451;14;8;Terjual;2;3
220;08/08/2019;Magnum;5;2;443;438;5;6;Terjual;3;1
221;09/08/2019;Paddle Pop;5;3;718;711;7;8;Terjual;3;6
222;10/08/2019;Populaire;5;5;542;537;5;5;Terjual;5;1
223;11/08/2019;Seru;5;2;782;758;24;5;Terjual;2;6
224;12/08/2019;Viennetta;5;5;763;734;29;8;Terjual;3;6
225;13/08/2019;Wall's;5;2;599;584;15;8;Terjual;4;5
226;14/08/2019;Citra;1;3;777;768;9;8;Terjual;2;6
227;15/08/2019;Clear;1;5;466;439;27;6;Terjual;4;4
228;16/08/2019;Clean Men;1;4;744;731;13;5;Terjual;4;3
229;17/08/2019;Simple;1;3;798;789;9;6;Terjual;1;6
230;18/08/2019;Zwitsal;1;4;753;744;9;7;Terjual;4;1
231;19/08/2019;Glow & Lovely;1;5;432;430;2;5;Terjual;3;5
232;20/08/2019;Love Beauty & Planet;1;5;559;543;16;8;Terjual;5;4
233;21/08/2019;Pepsodent;1;4;620;615;5;7;Terjual;3;1
234;22/08/2019;Pond's;1;4;489;482;7;7;Terjual;1;2
235;23/08/2019;Pond's Men;1;2;675;662;13;7;Terjual;5;5
236;24/08/2019;Sunsilk;1;4;417;411;6;7;Terjual;1;3
237;25/08/2019;TRESemme;1;3;782;777;5;8;Terjual;3;3
238;26/08/2019;Unilever Professional;1;2;702;694;8;6;Terjual;4;6
239;27/08/2019;Vaseline Men;1;2;455;444;11;8;Terjual;4;3
240;28/08/2019;St. Ives;2;3;770;767;3;8;Terjual;5;5
241;29/08/2019;AXE;2;3;757;752;5;8;Terjual;2;2
242;30/08/2019;Close Up;2;2;775;771;4;5;Terjual;4;2
243;31/08/2019;Dove;2;5;466;464;2;8;Terjual;4;4
244;01/09/2019;LUX;2;5;401;378;23;5;Terjual;5;4
245;02/09/2019;Rexona;2;5;705;699;6;6;Terjual;3;2
246;03/09/2019;Lifebuoy;2;5;560;533;27;7;Terjual;4;1
247;04/09/2019;Cif;3;2;485;480;5;7;Terjual;4;4
248;05/09/2019;Molto;3;2;447;438;9;8;Terjual;1;3
249;06/09/2019;Rinso;3;2;470;468;2;6;Terjual;1;6
250;07/09/2019;Sunlight;3;5;471;441;30;8;Terjual;3;6
251;08/09/2019;Super Pell;3;5;417;406;11;6;Terjual;2;3
252;09/09/2019;Vixall;3;5;774;766;8;5;Terjual;3;6
253;10/09/2019;Wipol;3;4;423;401;22;8;Terjual;3;5
254;11/09/2019;Bango;4;4;456;439;17;5;Terjual;4;3
255;12/09/2019;Buavita;4;2;660;641;19;5;Terjual;3;2
256;13/09/2019;Hellmann's;4;4;460;437;23;6;Terjual;5;3
257;14/09/2019;Jawara;4;2;493;471;22;6;Terjual;5;3
258;15/09/2019;Knorr;4;4;589;568;21;7;Terjual;4;3
259;16/09/2019;Lipton;4;2;454;453;1;6;Terjual;4;6
260;17/09/2019;Royco;4;5;789;768;21;5;Terjual;5;6
261;18/09/2019;SariWangi;4;2;534;525;9;7;Terjual;5;4
262;19/09/2019;TheVegetarianButcher;4;5;422;396;26;5;Terjual;1;4
263;20/09/2019;Cornetto;5;3;686;672;14;7;Terjual;4;5
264;21/09/2019;Feast;5;4;664;640;24;6;Terjual;3;5
265;22/09/2019;Magnum;5;3;715;695;20;6;Terjual;4;5
266;23/09/2019;Paddle Pop;5;4;521;497;24;8;Terjual;1;6
267;24/09/2019;Populaire;5;4;788;779;9;5;Terjual;1;5
268;25/09/2019;Seru;5;4;720;699;21;7;Tidak Terjual;4;3
269;26/09/2019;Viennetta;5;4;733;706;27;8;Terjual;2;3
270;27/09/2019;Wall's;5;4;737;710;27;7;Terjual;1;5
271;28/09/2019;Citra;1;4;496;492;4;8;Terjual;4;3
272;29/09/2019;Clear;1;2;541;527;14;5;Terjual;2;1
273;30/09/2019;Clean Men;1;5;756;755;1;7;Terjual;1;3
274;01/10/2019;Simple;1;5;773;760;13;7;Terjual;4;4
275;02/10/2019;Zwitsal;1;2;469;463;6;5;Terjual;5;1
276;03/10/2019;Glow & Lovely;1;5;618;612;6;8;Terjual;3;3
277;04/10/2019;Love Beauty & Planet;1;5;489;464;25;8;Terjual;1;6
278;05/10/2019;Pepsodent;1;4;512;500;12;7;Tidak Terjual;2;1
279;06/10/2019;Pond's;1;3;705;696;9;6;Terjual;4;6
280;07/10/2019;Pond's Men;1;2;613;592;21;8;Terjual;5;4
281;08/10/2019;Sunsilk;1;4;577;565;12;6;Terjual;4;1
282;09/10/2019;TRESemme;1;2;587;573;14;5;Terjual;5;5
283;10/10/2019;Unilever Professional;1;5;507;483;24;7;Terjual;2;5
284;11/10/2019;Vaseline Men;1;2;539;513;26;5;Terjual;3;3
285;12/10/2019;St. Ives;2;2;469;441;28;8;Terjual;4;3
286;13/10/2019;AXE;2;4;411;407;4;6;Terjual;1;4
287;14/10/2019;Close Up;2;4;442;413;29;8;Terjual;2;6
288;15/10/2019;Dove;2;4;426;403;23;7;Terjual;4;3
289;16/10/2019;LUX;2;3;621;601;20;5;Terjual;5;3
290;17/10/2019;Rexona;2;3;673;644;29;8;Terjual;5;1
291;18/10/2019;Lifebuoy;2;2;671;670;1;8;Terjual;3;2
292;19/10/2019;Cif;3;4;638;633;5;7;Terjual;1;2
